MOT CLe;Description;cat3;cat1;cat2;CATEGORISATION;Service Libelle d'affichage / Impactant;Causalite;Tag+E:ED:IJ30F:IC:IB:I;SUPPORT;PRIORISATION;CAS;Autonomie;DATE CREATION;PM;Msg spe;Lien;POPUP ajout;Mess_axis;Impacté;Categorisation Service impacte ;KM;GROUPE EXPERT; 
SCO NCR-FR : Scanning article;SCO NCR : Problème d'enregistrement article sans code à barres;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Scanning article;" > Demander quel est l'article en question
> Noter son code | SI ESC : > Si une seule caisse concernee, reprendre le fichier picklist d'une autre caisse et le deposer sur la caisse KO
> Verifier le fichier picklist
> Verifer l'import du fichier picklist
Si toujours pb generer un fichier diagnostic et escalader vers NCR niveau 3 logiciel
(ajouter le lien filexchange dans le commentaire SANS attacher de PJ au ticket) FR IT EDITEUR N3 SCO NCR LOGICIEL EXT";P3;SYM1025; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Validation poids;SCO NCR : Poids en erreur systematique;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Validation poids; Faire verifier le positionnement du plateau sur la balance de securite et redemarer le SCO. Si toujours problème escalader vers NCR materiel ;P3;SYM1026; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Validation poids;SCO NCR : Poids incoherent;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Validation poids;" Demander le type d'article : 
- Si article normal, verifier le poids dans la base poids, si le poids est incoherent, demander de supprimer le poids il sera appris correctement au prochain passage
- Si article de type pesee en rayon, escalader vers niveau 2 | SI ESC : > Demander le type d'article
- Si article de type ""pese en rayon"" (ex. orange) verifier le prix au kilo sur l'encaissement. Demander au magasin de faire corriger le prix au kilo 
- Si article normal, verifier le poids dans la base poids

> Contrôler l'enregistrement sur une caisse traditionnelle
si même anomalie, escalader côte encaissement
si pas d'anomalie, escalader au N3 FR IT UMA N3 Encaissement";P3;SYM1027; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Validation poids;SCO NCR : Article non reconnu sur la balance;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Validation poids;" Si article leger demander d'attendre 3 passages de cet article, il sera appris en tant qu'article non-pese
Si le problème persiste ou autre problème, escalade au N3 NCR MATERIEL ";P3;SYM1028; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Identification client;SCO NCR : Carte de fidelite ou PASS non reconnue;Fidelite;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Identification client;" > Demander si problème uniquement en SCO ou egalement en caisse traditionnelle | SI ESC : > Si problème uniquement sur SCO, generer un fichier diagnostic et escalader au niveau 3
(ajouter le lien filexchange dans le commentaire SANS attacher de PJ au ticket) 
> Si problème plus general, voir avec le N3 FR IT UMA N3 Encaissement";P3;SYM1029; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Identification client;SCO NCR : Problème de scan de la carte de fidelite;Fidelite;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Identification client;" > Verifier la qualite des codes-barre
> Demander à l'hotesse de saisir le code
 ";P3;SYM1030; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Identification client;SCO NCR : Problème de scan du mobile du client;Fidelite;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Identification client;" > Demander au magasin de reparametrer la douchette avec la planche de code à barres
> Augmenter le contraste sur le telephone ";P3;SYM1031; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : CPN / Promotions;SCO NCR : Bons de reduction / Remises immediates / non pris en compte;Fidelite;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : CPN / Promotions;" > Verifier que la promotion existe (et qu'elle est activee)
> Verifier si le serveur FID est joignable et que le client a bien le droit a la promo sur le moteur de promo
> Verifier qu'il n'y a pas d'erreur au niveau des logs scaneo en lien avec le moteur de promo et qu'il n' y a pas d'alerte au niveau du back office scaneo, menu 'ACCUEIL --> Alarmes
> Verifier la validite des status caisse sur Carine | SI ESC : > Verifier sur l'encaissement que les appels maxxing sont OK (similaires à une caisse traditionelle)
Si problème uniquement sur SCO escalader au niveau 3 FR IT UMA N3 Encaissement";P3;SYM1032; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Cagnotte;SCO NCR : La cagnotte ne s'affiche pas ou est à zero;Fidelite;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Cagnotte;" > Verifier que le serveur STAC est joignable et que le client a bien un solde > 0 sur STAC


Verification des logs par le N2 | SI ESC : > Si STAC n'est pas joingable --> remonter le problème au support STAC N3
> Si le serveur SCANEO n'arrive pas à joindre le serveur STAC --> remonter le problème au support STAC N3 FR IT UMA N3 Encaissement";P3;SYM1033; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Paiement;SCO NCR : TPE ne s'active pas;Fidelite;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Paiement; > Faire verifier les connexions du TPE ;P3;SYM1034; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
